,sentimentr_jockersrinker,sentimentr_jockers,sentimentr_huliu,sentimentr_nrc,sentimentr_senticnet,sentimentr_sentiword,sentimentr_loughran_mcdonald,sentimentr_socal_google
25642,0.0,0.0,0.0,0.0,0.7174424105808075,-0.5031152949374527,0.0,0.0
25643,0.2004459314343183,0.2004459314343183,0.5345224838248488,-0.2672612419124244,0.36106993782368535,0.16202712790940726,0.0,0.0
25644,-0.4695742752749558,0.0,-0.4695742752749558,0.0,0.4767296928029551,-0.2795084971874737,0.0,0.0
25645,-0.2651650429449553,-0.2651650429449553,-0.35355339059327373,0.0,0.0,-0.022097086912079608,0.0,0.0
25646,0.0,0.0,0.0,0.0,0.23263813101037412,0.08838834764831843,0.0,0.0
25647,-0.5,0.0,-0.5,-0.5,0.2765,-0.0625,0.0,0.0
25648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25649,0.0,0.0,0.0,0.0,-0.32251614946645185,-0.15309310892394865,0.0,0.0
25650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25651,-0.4082482904638631,-0.4082482904638631,0.0,0.0,0.0,-0.051031036307982884,0.0,0.0
25652,0.2886751345948129,0.2886751345948129,0.2886751345948129,0.2886751345948129,0.07938566201357354,0.2646188733785785,0.0,0.0
25653,0.0,0.0,0.0,0.0,0.37264527368531053,0.0,0.0,0.0
25654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25655,-0.513097681508337,0.11094003924504584,-0.6240377207533828,-0.34668762264076824,0.06420654771307036,-0.2629047805025826,0.0,1.632098472997787
